developer,year,app_name,price
"Gamebryo,Virtual Playground",2007.0,Prison Tycoon 3™: Lockdown,9.99
SCS Software,2007.0,Hunting Unlimited™ 2008,9.99
SCS Software,2007.0,18 Wheels of Steel: American Long Haul,9.99
Pivotal Games,2008.0,Conflict: Denied Ops,5.99
Bohemia Interactive,2007.0,ARMA: Combat Operations,7.99
Spellbound,2006.0,Desperados 2: Cooper's Revenge,9.99
Haggard Games,2007.0,Death to Spies,4.99
Eugen Systems,2006.0,Act of War: High Treason,2.99
"Frontier,Aspyr (Mac)",2006.0,RollerCoaster Tycoon® 3: Platinum,19.99
Eugen Systems,2005.0,Act of War: Direct Action,2.99
"Epic Games, Inc.",2003.0,Unreal 2: The Awakening,14.99
"Epic Games, Inc.",1998.0,Unreal Gold,9.99
Sanzaru Games,2008.0,Ninja Reflex: Steamworks Edition,4.99
Ubisoft,2003.0,Tom Clancy's Splinter Cell®,9.99
Crytek Studios,2004.0,Far Cry®,9.99
"Epic Games, Inc.",2000.0,Unreal Tournament: Game of the Year Edition,9.99
Ubisoft Montreal,2006.0,Tom Clancy's Rainbow Six® Vegas,9.99
Ubisoft,2005.0,Silent Hunter® III,9.99
Last Day of Work,2008.0,Virtual Villagers - The Secret City,9.99
SpinTop Games,2008.0,Mystery P.I.™ - The Vegas Heist,4.99
MumboJumbo,2008.0,Luxor,9.99
MumboJumbo,2008.0,Reaxxion,9.99
MumboJumbo,2008.0,Little Farm,9.99
MumboJumbo,2008.0,7 Wonders II,9.99
MumboJumbo,2005.0,Luxor Amun Rising,9.99
MumboJumbo,2007.0,Luxor 3,9.99
Ubisoft,2007.0,Petz® Horsez® 2,9.99
MumboJumbo,2005.0,Luxor 2,9.99
"Ubisoft Bulgaria,Ubisoft Montpellier",2007.0,Rayman Raving Rabbids™,9.99
Ubisoft Romania,2007.0,Silent Hunter®: Wolves of the Pacific,9.99
1C: Maddox Games,2006.0,IL-2 Sturmovik: 1946,9.99
Ubisoft Romania,2008.0,Silent Hunter®: Wolves of the Pacific U-Boat Missions,9.99
Telltale Games,2005.0,Bone: Out From Boneville,9.99
"Merscom,Babylon",2005.0,Midnight Outlaw: 6 Hours to SunUp,9.99
Telltale Games,2006.0,Bone: The Great Cow Race,9.99
BigAnt Studios,2008.0,Sprint Cars Road to Knoxville,9.99
Zemnott,2008.0,Dr. Daisy Pet Vet,9.99
Gabriel Entertainment,2007.0,Ride! Carnival Tycoon,9.99
Zemnott,2008.0,Hot Dish,9.99
Zemnott,2007.0,Mahjongg Investigations: Under Suspicion,9.99
Frogwares,2008.0,Dracula Origin,9.99
Frogwares,2008.0,Sherlock Holmes - Nemesis,9.99
"Luc Bernard,SilverSphereStudios",2008.0,Eternity's Child,4.99
Lesta Studio,2007.0,Pacific Storm Allies,7.99
Dialogue Design,2008.0,Tank Universal,4.99
Bugbear Entertainment,2008.0,FlatOut: Ultimate Carnage,19.99
Oddworld Inhabitants,1998.0,Oddworld: Abe's Exoddus®,2.99
Oddworld Inhabitants,1997.0,Oddworld: Abe's Oddysee®,2.99
SimBin,2008.0,GTR Evolution Expansion Pack for RACE 07,7.99
"MicroProse Software, Inc",2001.0,X-COM: Enforcer,4.99
"MicroProse Software, Inc",1997.0,X-COM: Apocalypse,4.99
"MicroProse Software, Inc",1993.0,X-COM: UFO Defense,4.99
GSC Game World,2008.0,S.T.A.L.K.E.R.: Clear Sky,9.99
Crytek,2008.0,Crysis Warhead®,19.99
Crytek,2007.0,Crysis,19.99
"MicroProse Software, Inc",1998.0,X-COM: Interceptor,4.99
CD PROJEKT RED,2008.0,The Witcher: Enhanced Edition Director's Cut,9.99
Introversion Software,2008.0,Multiwinia,9.99
SimBin,2008.0,STCC - The Game 1 - Expansion Pack for RACE 07,2.99
"Tilted Mill Entertainment, Inc.",2008.0,Children of the Nile: Alexandria,2.49
Firaxis Games,2008.0,Sid Meier's Civilization IV: Colonization,19.99
"Red Storm Entertainment,Ubisoft Montreal",2003.0,Tom Clancy's Rainbow Six® 3 Gold,9.99
Traveller's Tales,2008.0,LEGO Batman,19.99
Monte Cristo,2008.0,City Life 2008,9.99
"Tilted Mill Entertainment, Inc.",2008.0,Hinterland,9.99
Gearbox Software,2008.0,Brothers in Arms: Hell's Highway™,9.99
Dark Castle Software,2008.0,Gravitron 2,4.99
Techland,2006.0,Xpand Rally Xtreme,4.99
Nival,2006.0,Heroes of Might & Magic V: Hammers of Fate,9.99
Gearbox Software,2005.0,Brothers in Arms: Earned in Blood™,9.99
Nival,2007.0,Heroes of Might & Magic V: Tribes of the East,9.99
Blue Byte,2008.0,The Settlers®: Rise Of An Empire Gold Edition,19.99
Ubisoft,2007.0,Brain Spa,9.99
Red Storm Entertainment,2002.0,The Sum of All Fears,9.99
"PopCap Games, Inc.",2008.0,Peggle™ Nights,4.99
2D BOY,2008.0,World of Goo,9.99
Egosoft,2008.0,X3: Terran Conflict,15.99
Sandstorm Productions,2008.0,Mare Nostrum,0.0
Shorebound Studios,2008.0,Spectraball,4.99
Perpetual FX Creative,2008.0,Galactic Bowling,19.99
Rockstar New England,2008.0,Bully: Scholarship Edition,14.99
Ubisoft Montreal,2008.0,Far Cry® 2: Fortune's Edition,9.99
Meridian4,2008.0,Space Trader: Merchant Marine,4.99
RailSimulator.com,2009.0,PRR Wagon Pack 01,4.99
RailSimulator.com,2009.0,"Class 421 London South East ""Jaffa Cake""",4.99
RailSimulator.com,2009.0,ATSF Wagon Pack 01,4.99
Reppo,2009.0,GP20 Union Pacific Add-on Livery,4.99
RailSimulator.com,2009.0,UK Van Wagon Pack,4.99
Dovetail Games,2009.0,CSX SD70MAC Add-on Livery,4.99
Dovetail Games,2009.0,CSX ES44AC Add-on Livery,4.99
Volition,2009.0,Saints Row 2,9.99
EA Redwood Shores,2008.0,Dead Space,19.99
Liquid Entertainment,2008.0,Rise of the Argonauts,9.99
DICE,2009.0,Mirror's Edge™,19.99
Hidden Path Entertainment,2008.0,Defense Grid: The Awakening,9.99
Monolith,2009.0,F.E.A.R. 2: Project Origin,14.99
Oxeye Game Studio,2008.0,Harvest: Massive Encounter,7.99
Inventive Dingo,2007.0,Mayhem Intergalactic,9.99
Meridian4,2009.0,Larva Mortus,4.99
Black Sea Studios Ltd,2005.0,Knights of Honor,9.99
Realmforge Studios,2009.0,Ceville,5.99
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2009.0,Empire: Total War™ - Special Forces Units & Bonus Content,2.99
Deadline Games,2009.0,Watchmen: The End is Nigh,4.99
Frictional Games,2007.0,Penumbra Overture,9.99
"Epic Games, Inc.",2007.0,Unreal Tournament 3 Black,19.99
Radon Labs,2009.0,Drakensang,9.99
Tale of Tales,2008.0,The Graveyard,4.99
Criterion Games,2009.0,Burnout Paradise: The Ultimate Box,19.99
Twisted Pixel Games,2009.0,The Maw,9.99
Twisted Pixel Games,2009.0,The Maw: River Redirect,1.25
Twisted Pixel Games,2009.0,The Maw: Brute Force,1.25
IonFX,2009.0,Obulis,4.99
Llamasoft LTD,2009.0,Space Giraffe,9.99
"InnoGlow,Stormregion,THQ Nordic",2009.0,Codename: Panzers - Cold War,14.99
SpinTop Games,2009.0,Escape Rosecliff Island,4.99
ArenaNet®,2006.0,Guild Wars Nightfall,19.99
ArenaNet®,2005.0,Guild Wars,19.99
ArenaNet®,2006.0,Guild Wars Factions,19.99
ArenaNet®,2008.0,Guild Wars Trilogy,29.99
Infinite Interactive,2009.0,Puzzle Kingdoms,14.99
MumboJumbo,2009.0,Samantha Swift and the Golden Touch,9.99
Reality Pump Studios,2009.0,Two Worlds Epic Edition,9.99
Spellbound,2009.0,Helldorado,9.99
Gaijin Entertainment,2009.0,X-Blades,9.99
ACE Team,2009.0,Zeno Clash,9.99
Twisted Pixel Games,2009.0,The Maw: Speeder Lane,1.25
1C Company,2008.0,King's Bounty: The Legend,6.99
Last Day of Work,2009.0,Virtual Families,9.99
Sky Fallen,2009.0,Death Track®: Resurrection,2.99
Irrational Games,2005.0,Freedom Force vs. the Third Reich,4.99
Irrational Games,2002.0,Freedom Force,4.99
SaintXi,2009.0,Light of Altair,14.99
Darklight Games,2009.0,Darkest Hour: Europe '44-'45,0.0
Radical Entertainment,2009.0,Prototype™,19.99
Erik Svedäng,2009.0,Blueberry Garden,4.99
Ascaron Entertainment ltd.,2004.0,Port Royale 2,4.99
Headfirst Productions,2006.0,Call of Cthulhu®: Dark Corners of the Earth,4.99
Bethesda Game Studios,2007.0,The Elder Scrolls IV: Oblivion® Game of the Year Edition,14.99
Bethesda Game Studios,2002.0,The Elder Scrolls III: Morrowind® Game of the Year Edition,14.99
Bethesda Game Studios®,2009.0,The Elder Scrolls IV: Oblivion® Game of the Year Edition Deluxe,19.99
Deck 13,2007.0,Ankh 2: Heart of Osiris,4.99
NovaLogic,1999.0,Armored Fist 3,9.99
NovaLogic,1998.0,MiG-29 Fulcrum,9.99
Mascot Entertainment,2008.0,BC Kings,4.99
Techland,2009.0,Call of Juarez®: Bound in Blood,9.99
HeR Interactive,2007.0,Nancy Drew®: Legend of the Crystal Skull,6.99
HeR Interactive,2006.0,Nancy Drew®: The Creature of Kapu Cave,6.99
HeR Interactive,2008.0,Nancy Drew®: The Phantom of Venice,6.99
HeR Interactive,2007.0,Nancy Drew®: The White Wolf of Icicle Creek,6.99
Digital Eel,2008.0,BRAINPIPE: A Plunge to Unhumanity,0.0
Telltale Games,2009.0,Tales of Monkey Island Complete Pack,19.99
Capcom,2009.0,Street Fighter® IV,19.99
Frontier,2007.0,Thrillville®: Off the Rails™,9.99
LucasArts,1992.0,Indiana Jones® and the Fate of Atlantis™,5.99
Planet Moon Studios,2003.0,Armed and Dangerous®,5.99
Pandemic Studios,2005.0,"Star Wars: Battlefront 2 (Classic, 2005)",9.99
LucasArts,1989.0,Indiana Jones® and the Last Crusade™,5.99
Traveller's Tales,2008.0,LEGO® Indiana Jones™: The Original Adventures,19.99
LucasArts,2009.0,The Secret of Monkey Island: Special Edition,9.99
GFI Russia,2008.0,Warfare,12.99
Targem Games,2009.0,Clutch,9.99
HeR Interactive,2009.0,Nancy Drew®: Ransom of the Seven Ships,6.99
Wanako Games,2006.0,3D Ultra™ Minigolf Adventures,9.99
Sierra,2006.0,King's Quest™ Collection,19.99
Saber Interactive,2007.0,TimeShift™,19.99
Sierra,2006.0,Space Quest™ Collection,19.99
Tripwire Interactive,2009.0,Killing Floor Outbreak Character Pack,7.99
Artech Studios,2008.0,Aces of the Galaxy™,9.99
"PopTop Software,BreakAway Games,Frog City Software",2009.0,Tropico Reloaded,6.99
SpinTop Games,2009.0,Mystery P.I. - Lost in Los Angeles,4.99
Capcom,2008.0,Bionic Commando: Rearmed,9.99
Capcom,2009.0,Bionic Commando,9.99
Deadline Games,2009.0,Watchmen: The End is Nigh Part 2,4.99
Sakari Indie,2009.0,Foreign Legion: Buckets of Blood,4.99
"BioWare,Aspyr (Mac)",2003.0,STAR WARS™ - Knights of the Old Republic™,9.99
Hemisphere Games,2009.0,Osmos,9.99
Black Isle Studios,1998.0,Fallout 2: A Post Nuclear Role Playing Game,9.99
14° East,2001.0,Fallout Tactics: Brotherhood of Steel,9.99
Xatrix Entertainment,1999.0,Kingpin — Life of Crime,9.99
Shiny Entertainment,2000.0,Sacrifice,9.99
Telltale Games,2009.0,Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay,19.99
iWin,2009.0,Jewel Quest Pack,19.99
iWin,2009.0,Mahjong Quest Collection,9.99
Size Five Games,2009.0,"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",4.99
Ubisoft Montreal,2005.0,Tom Clancy's Splinter Cell Chaos Theory®,9.99
Unicorn Games Studio,2009.0,XIII Century – Gold Edition,4.99
Blue Fang,2009.0,World of Zoo,14.99
IO Interactive,2009.0,Mini Ninjas,9.99
"Freeze Tag Inc.,iQ212",2009.0,Freeze Tag Fun Pack #2,19.99
"Freeze Tag Inc.,Joju Games,Linksolutions Ltd.,Dekovir Entertainment",1999.0,Freeze Tag Fun Pack #1,19.99
"Vectorpark, Inc.",2009.0,Windosill,2.99
All Aboard,2009.0,Train Simulator: Colton & Northern Route Add-On,24.99
MumboJumbo,2009.0,Midnight Mysteries,9.99
Telltale Games,2009.0,Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan,19.99
NovaLogic,2009.0,Joint Operations: Combined Arms Gold,19.99
Dovetail Games,2009.0,Train Simulator: US Loco & Asset Pack,17.99
PlayFirst,2009.0,DinerTown Tycoon,9.99
Dovetail Games,2009.0,Train Simulator: European Loco & Asset Pack,19.99
Piranha Bytes,2009.0,Risen,9.99
Honeyslug,2009.0,Flora's Fruit Farm,3.99
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2009.0,Empire: Total War™ - The Warpath Campaign,9.99
Amanita Design,2009.0,Machinarium,9.99
EA Los Angeles,2007.0,Medal of Honor: Airborne,9.99
Slightly Mad Studios,2009.0,Need for Speed: Shift,19.99
Runic Games,2009.0,Torchlight,14.99
EA Los Angeles,2009.0,Command & Conquer: Red Alert 3 - Uprising,19.99
FireFly Studios,2009.0,The Stronghold Collection,19.99
Nitro Games,2009.0,East India Company: Privateer,4.99
Homegrown Games,2009.0,Painkiller: Resurrection,9.99
"Phenomic,THQ Nordic",2009.0,SpellForce 2 - Anniversary Edition,14.99
Animation Arts,2009.0,Secret Files: Tunguska,9.99
Stormregion,2009.0,Rush for Berlin Gold,4.99
Telltale Games,2009.0,Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood,19.99
1C Company,2009.0,Men of War: Red Tide,4.99
Konstantin Koshutin,2009.0,Hammerfight,4.99
Phenomic,2009.0,SpellForce - Platinum Edition,9.99
Wargaming.net,2005.0,Massive Assault: Phantom Renaissance,9.99
Wargaming.net,2003.0,Massive Assault,9.99
HeR Interactive,2009.0,Nancy Drew® Dossier: Resorting to Danger!,6.99
Croteam,2009.0,Serious Sam HD: The First Encounter,14.99
Animation Arts,2009.0,Secret Files 2: Puritas Cordis,9.99
BioWare,2009.0,Dragon Age: Origins,19.99
Citeremis Inc.,2009.0,Aztaka,4.99
Yullaby,2009.0,Magnetis,1.99
Crystal Empire Games,2009.0,For The Glory: A Europa Universalis Game,9.99
"Infinity Ward,Aspyr (Mac)",2009.0,Call of Duty®: Modern Warfare® 2,19.99
"Traveller's Tales,Feral Interactive (Mac)",2009.0,LEGO® Star Wars™ - The Complete Saga,19.99
"Triumph Studios,Virtual Programming",2007.0,Overlord™,4.99
"Triumph Studios,Virtual Programming",2008.0,Overlord™: Raising Hell,9.99
EA Los Angeles,2007.0,Command & Conquer 3: Tiberium Wars,14.99
KranX Productions,2008.0,Yumsters 2: Around the World,4.99
EA Los Angeles,2009.0,Command & Conquer 3: Kane's Wrath,19.99
Positech Games,2009.0,Gratuitous Space Battles,14.99
Gaijin Entertainment,2009.0,Wings of Prey,9.99
inXile Entertainment,2005.0,The Bard's Tale,9.99
Defence Alliance Team,2009.0,Defence Alliance 2,0.0
"LucasArts,Aspyr Studios",2009.0,STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,19.99
Paradox Interactive,2009.0,Europa Universalis III: Heir to the Throne,9.99
Bethesda Game Studios,2009.0,Fallout 3: Game of the Year Edition,19.99
Positech Games,2009.0,Gratuitous Space Battles: The Tribe,5.99
Hip Soft,2007.0,Build-A-Lot,9.99
Hip Soft,2008.0,Build-A-Lot 2: Town of the Year,9.99
Hip Soft,2009.0,Build-A-Lot 3: Passport to Europe,9.99
iWin,2009.0,Coconut Queen,9.99
Spidermonk Entertainment,2009.0,Roogoo,1.99
Capcom,2008.0,Devil May Cry 4,19.99
ClockStone Studios,2010.0,Avencast: Rise of the Mage,9.99
Hip Soft,2009.0,Build-A-Lot 4: Power Source,9.99
Octoshark Studios,2010.0,"Pirates, Vikings, and Knights II",0.0
Alawar,2008.0,Farm Frenzy 2,4.99
Alawar,2010.0,Farm Frenzy 3: American Pie,9.99
Alawar,2009.0,Farm Frenzy 3,9.99
Alawar,2007.0,Farm Frenzy,4.99
Alawar,2009.0,Farm Frenzy: Pizza Party,4.99
Sandlot Games,2010.0,Cake Mania Main Street™,6.99
Sandlot Games,2010.0,Westward® IV: All Aboard,6.99
Cateia Games,2010.0,Iron Roses,6.99
Chaos Concept,2010.0,UFO: Extraterrestrials Gold,9.99
Traveller's Tales,2010.0,LEGO® Indiana Jones™ 2: The Adventure Continues,19.99
New Star Games Ltd,2010.0,Super Laser  Racer,4.99
Paradox Interactive,2010.0,Hearts of Iron III: Soviet Infantry Pack DLC,0.99
The Farm 51,2010.0,NecroVisioN: Lost Company,6.99
Awem Studio,2007.0,Cradle of Persia,9.99
Rebellion,2010.0,Aliens vs. Predator Swarm Map Pack,7.49
Croteam,2001.0,Serious Sam Classic: The First Encounter,9.99
All Aboard,2010.0,Train Simulator: Fort Kent to Eagle Lake Route Add-On,19.99
TaleWorlds Entertainment,2010.0,Mount & Blade: Warband,19.99
ZoopTEK,2010.0,Coniclysm,4.99
Beatnik Games,2010.0,Plain Sight,4.99
Fatshark,2010.0,Lead and Gold: Gangs of the Wild West,9.99
Rockstar North / Toronto,2010.0,Grand Theft Auto: Episodes from Liberty City,19.99
Other Ocean Interactive,2010.0,Dark Void™ Zero,4.99
Nemesys Games,2010.0,Fortix,0.99
Cold Beam Games,2010.0,Beat Hazard,9.99
Telltale Games,2010.0,Sam & Max: The Devil’s Playhouse,19.99
Realmforge Studios,2010.0,M.U.D. TV,9.99
Gaijin Entertainment,2010.0,Wings of Luftwaffe Add-on,4.99
The Odd Gentlemen,2010.0,The Misadventures of P.B. Winterbottom,4.99
THQ Nordic,2003.0,AquaNox 2: Revelation,4.99
THQ Nordic,2001.0,AquaNox,4.99
Red Chain Games Ltd.,2010.0,Fluttabyes,1.99
Big Fish Games,2006.0,Hidden Expedition: Titanic,9.99
Big Fish Games,2008.0,Hidden Expedition: Amazon,9.99
"The Creative Assembly,Feral Interactive (Mac)",2010.0,Napoleon: Total War™ - Coalition Battle Pack,2.99
Sarbakan,2008.0,Fitness Dash™,6.99
PlayFirst,2009.0,Gemini Lost™,6.99
Absolutist Ltd.,2009.0,DinerTown Detective Agency™,6.99
PlayFirst,2007.0,Mahjong Roadshow™,6.99
PlayFirst,2009.0,Hotel Dash™ Suite Success™,6.99
PlayFirst,2010.0,Nightshift Legacy: The Jaguar's Eye™,6.99
PlayFirst,2008.0,The Nightshift Code™,6.99
PlayFirst,2007.0,TriJinx: A Kristine Kross Mystery™,6.99
PlayFirst,2009.0,Valerie Porter and the Scarlet Scandal™,6.99
G5 Entertainment,2010.0,Biozone,9.99
Climax Studios,2010.0,Rocket Knight,14.99
Muse Games,2010.0,Flight of the Icarus,4.99
Ideas Pad,2010.0,Puzzler World,4.99
Ubisoft,2010.0,Prince of Persia: The Forgotten Sands™ Digital Deluxe Edition,19.99
Kokakiki,2010.0,Ziro,4.99
SEGA,2010.0,Altered Beast™,2.99
SEGA,2010.0,Comix Zone™,2.99
D3T Limited,2010.0,SEGA Mega Drive and Genesis Classics,61.99
SEGA,2010.0,Golden Axe™,2.99
SEGA,2010.0,Ecco the Dolphin™,2.99
SEGA,2010.0,Gain Ground™,2.99
SEGA,2010.0,Shinobi™ III: Return of the Ninja Master,2.99
SEGA,2010.0,Crack Down™,2.99
SEGA,2010.0,VectorMan™,2.99
SEGA,2010.0,Sonic 3D Blast™,4.99
SEGA,2010.0,Shadow Dancer™,2.99
SEGA,2010.0,Space Harrier™ II,2.99
Obsidian Entertainment,2010.0,Alpha Protocol™,14.99
Team17 Software Ltd.,2010.0,Alien Breed: Impact,9.99
Bethesda Game Studios,2010.0,Fallout 3 - Point Lookout,4.99
Hidden Path Entertainment,2010.0,Defense Grid: Resurgence Map Pack 1,0.99
Bethesda Game Studios,2010.0,Fallout 3 - Mothership Zeta,4.99
Bethesda Game Studios,2010.0,Fallout 3 - Broken Steel,4.99
Bethesda Game Studios,2010.0,Fallout 3 - The Pitt,4.99
Valve,2010.0,Alien Swarm,0.0
Bethesda Game Studios,2010.0,Fallout 3 - Operation Anchorage,4.99
"EA - Maxis,Aspyr (Mac)",2003.0,SimCity™ 4 Deluxe Edition,19.99
"Akella,.dat",2010.0,Disciples III - Renaissance Steam Special Edition,14.99
"Arcen Games, LLC",2010.0,Tidalis,4.99
Invent4 Entertainment,2010.0,Razor2: Hidden Skies,9.99
Blue Byte,2010.0,The Settlers 7: Uncharted Land Map Pack,3.99
Dagger Games,2008.0,Dimensity,9.99
IO Interactive,2010.0,Kane & Lynch 2: Dog Days,9.99
Rune Forge,2010.0,The Guild II Renaissance,9.99
Paradox Interactive,2010.0,Hearts of Iron III DLC: German II Spritepack,0.99
N3V Games,2010.0,Trainz Simulator DLC: Blue Comet,19.99
Ino-Co,2010.0,Fantasy Wars,4.99
"2K Czech,Feral Interactive (Mac)",2011.0,Mafia II,29.99
Dovetail Games,2010.0,Train Simulator: Network Southeast Class 47 Loco Add-On,4.99
Infinite Interactive,2010.0,Puzzle Quest 2,9.99
doublesix,2010.0,Burn Zombie Burn!,9.99
Playbrains,2010.0,Madballs B*D*I Clan Skins,1.99
Playbrains,2010.0,Madballs Scorched Evolution Skin Rollup,1.99
Playbrains,2010.0,Madballs BDI Evolution Skin Rollup,1.99
Playbrains,2010.0,Madballs Holiday Skin Rollup,2.99
Paradox Development Studio,2010.0,Victoria I Complete,9.99
VStep,2010.0,Ship Simulator Extremes,19.99
Team17 Digital Ltd,2010.0,Worms Reloaded,19.99
Muzzy Lane Software,2010.0,Making History II: The War of the World,14.99
Bohemia Interactive,2010.0,Arma 2: British Armed Forces,8.99
Paradox Development Studio,2010.0,Victoria II,19.99
Playbrains,2010.0,Madballs Scorched Clan Skins,1.99
IO Interactive,2010.0,Kane & Lynch 2: The Doggie Bag,5.99
IO Interactive,2010.0,Kane & Lynch 2: Multiplayer Masks Pack,1.99
N3V Games,2010.0,Trainz: Classic Cabon City,19.99
IO Interactive,2010.0,Kane & Lynch 2: Alliance Weapon Pack,2.99
GSC Game World,2002.0,Cossacks: Back to War,4.99
Revolution Software Ltd,2010.0,Broken Sword: Director's Cut,5.99
Zoë Mode,2010.0,Chime,4.99
"2K Czech,Feral Interactive (Mac)",2010.0,Mafia II DLC: Jimmy's Vendetta,9.99
City Interactive,2010.0,Sniper: Ghost Warrior - Map Pack,1.99
